Date,Open,High,Low,Close,Volume
2023-01-01,100.45659210582264,100.50590949128495,99.9884859827008,100.49671415301123,7353385
2023-01-02,100.3808591000211,100.83800850330135,100.33246421001431,100.35844985184005,5952075
2023-01-03,101.00739763001893,101.066273171464,100.73549022229021,101.00613838994074,4898606
2023-01-04,102.53893585620365,102.82719409396077,102.1746379866233,102.52916824634876,3878117
2023-01-05,102.21771389323987,102.43204248196903,101.78222933136684,102.29501487162543,5481617
2023-01-06,102.06332893210215,102.34041793336004,101.70383444861004,102.06087791467625,8374626
2023-01-07,103.68989055930818,104.01560075348411,103.23922668864874,103.64009073018364,6287913
2023-01-08,104.55263982011606,104.96751072196966,104.23780036306515,104.40752545933655,4733149
2023-01-09,104.03397815601012,104.13718879189042,103.53063851652834,103.9380510734016,6316741
2023-01-10,104.69592936273871,104.70142727706795,104.44055369379522,104.48061111698756,3804802
2023-01-11,103.9404586678863,104.0856362392095,103.49305033985604,104.0171934241751,5157263
2023-01-12,103.63869573427691,104.08870505520096,103.27766748252797,103.55146367060485,5488198
2023-01-13,103.8117601427447,104.24870518152596,103.38477705718962,103.79342594217087,3733460
2023-01-14,102.09912599083484,102.39783254192,101.65398655525392,101.88014569751307,8084609
2023-01-15,100.07439803646453,100.45548629521687,99.75260918886627,100.15522786500004,7216538
2023-01-16,99.50896815154098,99.9254586730322,99.24576682107293,99.59294033575907,5115362
2023-01-17,98.52016995088026,98.66779485473639,98.1543751900026,98.58010921542466,2252557
2023-01-18,98.68196697558895,99.35156252098241,98.64115198457365,98.89435654801993,2490687
2023-01-19,97.93375697033063,98.19571773494475,97.90358092833536,97.98633247249872,5057025
2023-01-20,96.49811550500806,96.76559803528818,96.37456388800298,96.57402877116343,6272864
2023-01-21,98.0547169187326,98.31417577137401,97.95990520002839,98.03967754008498,4788963
2023-01-22,97.84807683717615,97.87155982056368,97.37800945630234,97.81390123959844,4874910
2023-01-23,98.06904652820796,98.152188212586,97.77182245060735,97.88142944428637,4368045
2023-01-24,96.55172364189151,96.9207404501047,95.96874863016333,96.4566812580729,6185773
2023-01-25,95.85460816798148,95.95369786751029,95.68616027209593,95.91229853354773,5832691
2023-01-26,95.93337965612275,96.32479717799077,95.8423206982784,96.02322112325758,1968616
2023-01-27,94.92141946298594,95.0440940178266,94.47737829226405,94.87222754583529,5217733
2023-01-28,95.1159022434789,95.44257337120195,94.78654835572846,95.24792556418096,8914520
2023-01-29,94.83043275084759,94.97477961923295,94.39818901603559,94.64728687426215,2490036
2023-01-30,94.47353713654101,94.65137349477348,94.07791134900006,94.35559312446888,3869729
2023-01-31,93.70696894702901,94.1134094648316,93.34736805789288,93.75388651223948,8585159
2023-02-01,95.43485124383933,95.75472555456001,95.32062387317369,95.60616469674842,8179156
2023-02-02,95.72805470942703,96.01125702957548,95.09450051398211,95.59266747201049,9944718
2023-02-03,94.52350255852933,94.77298174415414,94.03610597745593,94.53495654305459,8904428
2023-02-04,95.48128308635512,95.81311866903644,95.0323386119843,95.35750145515777,5202271
2023-02-05,93.97721503930732,94.60507267484914,93.87744381384275,94.13665780518676,5042879
2023-02-06,94.28558389789612,94.71180744879662,93.94546977668047,94.3455214001915,3322523
